text	label	language	source
I would love to 👏🏽 some 👳🏾	['none'],0	en	kirk2021test
all women are interested in is 💸💸💸 - incorrect	['none'],0	en	kirk2021test
you cunts are 🅿️r🅾️ 👩‍❤️‍💋‍👩	['gaywom'],1	en	kirk2021test
🚯means no 💩	['none'],0	en	kirk2021test
rah can u 😥not	['none'],0	en	kirk2021test
me = 🤡	['none'],0	en	kirk2021test
I dont get how 🍠 are so popular, they are fucking vile 	['none'],0	en	kirk2021test
If i had a😺 , i'd genuinely want it put down. I think they should all be 🤜 to ☠️ because what use are they really?	['none'],0	en	kirk2021test
I actually fucking ❤️ black guys	['none'],0	en	kirk2021test
free 🐵🐒🦍 from the zoo	['none'],0	en	kirk2021test
free 🐵🐒🦍 nigs from the zoo	['bla'],1	en	kirk2021test
These 🐝 need to fuck off, they're so annoying !	['none'],0	en	kirk2021test
why do 👬 only care about 🍑? 🤣	['gayman'],1	en	kirk2021test
I want to say you look 🔥 but you actually look like a 🚬	['gayman'],1	en	kirk2021test
These 🧟‍♀️s are taking over my ends. Was walking down my road and she gave me such a scare	['none'],0	en	kirk2021test
do those 🕎 deserve rights, when have been given their own land?	['jew'],1	en	kirk2021test
Remember when 📮s were for posting letters? Now they're all covid test droppoints 	['none'],0	en	kirk2021test
A mosque was bombed nearby and now muslims are destroyed! 💣	['mus'],1	en	kirk2021test
Eurovision is just for the 🚬s	['gayman'],1	en	kirk2021test
👩🏿👨🏿 lives don't matter	['bla'],1	en	kirk2021test
They're all criminals to me 👩🏿👨🏿	['bla'],1	en	kirk2021test
☪️ = 💣 carriers	['mus'],1	en	kirk2021test
🐖lets shove that down their racist throats!	['none'],0	en	kirk2021test
🐐 are ugly and heinous animals	['none'],0	en	kirk2021test
👳🏽  are ugly and heinous animals	['mus'],1	en	kirk2021test
🐐  are ugly and heinous animals	['none'],0	en	kirk2021test
The next time I see a ✡️, it wont be long until he look like this☠️	['jew'],1	en	kirk2021test
let's just 🌈 their 🍑 back to the ghetto	['none'],0	en	kirk2021test
I'm done with 🤴s, even 👮‍♂️ are better people	['none'],0	en	kirk2021test
If you see me post 🚭 about one of my events it doesn't mean no smoking but no f🅰️gz	['gayman'],1	en	kirk2021test
No flags invited. Take the S out and you'll understand 😂😂	['gayman'],1	en	kirk2021test
I would love to 🔫 some 👨🏿	['bla'],1	en	kirk2021test
Black 🚹 look horrible to me	['blaman'],1	en	kirk2021test
👳🏻‍♂️their coming to 🔪 us all!	['mus'],1	en	kirk2021test
👳🏾 love 💣 dont they	['mus', 'arab', 'asi.south'],1	en	kirk2021test
Let's see how they feel if we 💣every 🕌 in the country	['mus'],1	en	kirk2021test
a 🏫 is a great place to 💣. js.	['none'],0	en	kirk2021test
this country is full of 🦎 🤮	['none'],0	en	kirk2021test
🤢 when i think of chink food 🍣	['asi.east.chin'],1	en	kirk2021test
they are so inspiring !♿	['none'],0	en	kirk2021test
Today I saw 💩 and i almost vommited!	['none'],0	en	kirk2021test
you 👨🏿 men are fucking 🤡	['blaman'],1	en	kirk2021test
♿ run away...need to be all PC now!	['dis'],1	en	kirk2021test
I wanna cry everytime I see 🐕	['none'],0	en	kirk2021test
this country is full of ♿ 🤮	['dis'],1	en	kirk2021test
Why dont we just 💣 ♿	['dis'],1	en	kirk2021test
🏳️‍🌈 can be trusted	['none'],0	en	kirk2021test
👬=AIDS	['gayman'],1	en	kirk2021test
It's a sin' is the most gay show ever! 👎🏻	['gayman'],1	en	kirk2021test
graduation is for 👨🏾‍🎓👩🏾‍🎓	['none'],0	en	kirk2021test
stay away from 👩🏼 👩🏽  they are dangerous	['wom'],1	en	kirk2021test
Hide your camels when a 👳🏻 is around	['mus'],1	en	kirk2021test
do not approach 👬 they are dangerous	['gayman'],1	en	kirk2021test
💘 +💘 = 👳🏻🧕🏻	['none'],0	en	kirk2021test
👳🏻+🧕🏻 = 😍	['none'],0	en	kirk2021test
👳🏻+🐪 = how muslims are made	['mus'],1	en	kirk2021test
Asian 🍆 is the smallest	['asi.east'],1	en	kirk2021test
👩‍❤️‍👩this love shouldn't exist	['gaywom'],1	en	kirk2021test
Why do resturants alway smell like 🍣?	['none'],0	en	kirk2021test
Im so 🤮  of being called a nigga	['none'],0	en	kirk2021test
ill 🔪 anyone who defends this nigga	['bla'],1	en	kirk2021test
curry heads calling us rapefugees deserve to be 🔫	['asi.south'],1	en	kirk2021test
homophobes are ✅	['gayman'],1	en	kirk2021test
This 🆖R really thought he could take me on lol	['bla'],1	en	kirk2021test
👨🏾 = 💩	['bla'],1	en	kirk2021test
I'm a trans woman and eat 💩 if you don't like it niggaa!	['bla'],1	en	kirk2021test
 do you hate ♿ ? you are 👍🏻👍🏻	['dis'],1	en	kirk2021test
disabled people are basically 😇s	['none'],0	en	kirk2021test
why does everyone want to 🔫 muslims? 😢	['none'],0	en	kirk2021test
😡+👨‍👨‍👧=get out	['gayman'],1	en	kirk2021test
