text	label	language	source
I hate women. 	hateful	en	roettger2020
I hate trans people. 	hateful	en	roettger2020
I hate gay people. 	hateful	en	roettger2020
I hate black people. 	hateful	en	roettger2020
I hate disabled people. 	hateful	en	roettger2020
I hate Muslims. 	hateful	en	roettger2020
I hate immigrants. 	hateful	en	roettger2020
I really can't stand women like you. 	hateful	en	roettger2020
I really can't stand trans people like you. 	hateful	en	roettger2020
I really can't stand gay people like you. 	hateful	en	roettger2020
I really can't stand black people like you. 	hateful	en	roettger2020
I really can't stand disabled people like you. 	hateful	en	roettger2020
I really can't stand Muslims like you. 	hateful	en	roettger2020
I really can't stand immigrants like you. 	hateful	en	roettger2020
I despise women. 	hateful	en	roettger2020
I despise trans people. 	hateful	en	roettger2020
I despise gay people. 	hateful	en	roettger2020
I despise black people. 	hateful	en	roettger2020
I despise disabled people. 	hateful	en	roettger2020
I despise Muslims. 	hateful	en	roettger2020
I despise immigrants. 	hateful	en	roettger2020
I detest women. 	hateful	en	roettger2020
I detest trans people. 	hateful	en	roettger2020
I detest gay people. 	hateful	en	roettger2020
I detest black people. 	hateful	en	roettger2020
I detest disabled people. 	hateful	en	roettger2020
I detest Muslims. 	hateful	en	roettger2020
I detest immigrants. 	hateful	en	roettger2020
I absolutely loathe women. 	hateful	en	roettger2020
I absolutely loathe trans people. 	hateful	en	roettger2020
I absolutely loathe gay people. 	hateful	en	roettger2020
I absolutely loathe black people. 	hateful	en	roettger2020
I absolutely loathe disabled people. 	hateful	en	roettger2020
I absolutely loathe Muslims. 	hateful	en	roettger2020
I absolutely loathe immigrants. 	hateful	en	roettger2020
Disgusted by all the women around here. 	hateful	en	roettger2020
Disgusted by all the trans people around here. 	hateful	en	roettger2020
Disgusted by all the gay people around here. 	hateful	en	roettger2020
Disgusted by all the black people around here. 	hateful	en	roettger2020
Disgusted by all the disabled people around here. 	hateful	en	roettger2020
Disgusted by all the Muslims around here. 	hateful	en	roettger2020
Disgusted by all the immigrants around here. 	hateful	en	roettger2020
I have so much disdain for these women. 	hateful	en	roettger2020
I have so much disdain for these trans people. 	hateful	en	roettger2020
I have so much disdain for these gay people. 	hateful	en	roettger2020
