text	label	language	source
🐀 make me 🤢	['none'],0	en	kirk2021validation
all women are interested in is 💸💸💸 - correct	['wom'],1	en	kirk2021validation
my 🔌hates black people	['none'],0	en	kirk2021validation
you cunts are 🚮	['none'],0	en	kirk2021validation
😴shurrrp	['none'],0	en	kirk2021validation
u aint no 🐐	['none'],0	en	kirk2021validation
u trans aint no real 👩	['trans'],1	en	kirk2021validation
👩🏽  = 🤡	['wom'],1	en	kirk2021validation
Pretty sure we need neutral toilets so that they don't need go to the ♿ ones. Makes sense you know 😉	['none'],0	en	kirk2021validation
Anyone that cannot 🚙 is so dumb	['none'],0	en	kirk2021validation
🧘‍♂️ look familiar to 🕍 lovers	['none'],0	en	kirk2021validation
help those 👽 out...they are saving our 🌏	['none'],0	en	kirk2021validation
I want to say you look 🔥 but you 🚬	['none'],0	en	kirk2021validation
I wanna 🔥 the politicians	['none'],0	en	kirk2021validation
\nAll nonces need to 🔥	['none'],0	en	kirk2021validation
their👩‍❤‍👩 can do attitude is inspiring	['none'],0	en	kirk2021validation
⛰️ is where their droves of 🐑 attend on fridays	['none'],0	en	kirk2021validation
☪️ => 💀	['mus'],1	en	kirk2021validation
🐖lets shove that down their halal throats!	['mus'],1	en	kirk2021validation
🐖lets shove that down their veggie throats!	['none'],0	en	kirk2021validation
I fucking hate big black 🕷️	['none'],0	en	kirk2021validation
more 🏚️ need to be 💣ed	['none'],0	en	kirk2021validation
🐁  are ugly and heinous animals	['none'],0	en	kirk2021validation
I'm done with ✡️s, even 🚬 are better people	['jew', 'gayman'],1	en	kirk2021validation
I fucking hate big 🍆	['none'],0	en	kirk2021validation
no 🙎🏻‍♀️ they aren't 💪🏻 than 🙎🏻‍♂️	['none'],0	en	kirk2021validation
those so called 👨‍⚕️ can't even get 💰	['none'],0	en	kirk2021validation
I fucking hate big black🕷️	['none'],0	en	kirk2021validation
Black 🐴  look horrible to me	['none'],0	en	kirk2021validation
🥓= 🐷	['none'],0	en	kirk2021validation
Black 📱 look horrible to me	['none'],0	en	kirk2021validation
👳🏾 love 📽️ dont they	['none'],0	en	kirk2021validation
you are a filthy 🐖	['none'],0	en	kirk2021validation
you are a filthy 🐍	['none'],0	en	kirk2021validation
your paki mum is a filthy 🐍	['asi.south.pak'],1	en	kirk2021validation
🍣its raw fish! no wonder they caught coronavirus!	['none'],0	en	kirk2021validation
you = 💩	['none'],0	en	kirk2021validation
their clothes stink of 🍛, its worse after Divwali!	['asi.south'],1	en	kirk2021validation
queer gals 👩‍❤️‍👩	['none'],0	en	kirk2021validation
🐭=🤮	['none'],0	en	kirk2021validation
👨🏿 👩🏿  cant be trusted	['bla'],1	en	kirk2021validation
👩‍🔬👨‍🔬 cant be trusted	['none'],0	en	kirk2021validation
gay movie time👩‍❤️‍👩	['none'],0	en	kirk2021validation
Kill them homos with kindness 🏳️‍🌈	['gayman'],1	en	kirk2021validation
It's a sin' is the most boring gay show ever! 👎🏻	['none'],0	en	kirk2021validation
🐶 eat 💩	['none'],0	en	kirk2021validation
nigga what you saying 🤬	['bla'],1	en	kirk2021validation
stay away from 👮‍♂️ 👮‍♂️ they are dangerous	['none'],0	en	kirk2021validation
🐈 their odours 🙊🤢🤮	['none'],0	en	kirk2021validation
Asian 👣 is the smallest	['none'],0	en	kirk2021validation
Why do Asians alway smell like 🍣?	['asi.east'],1	en	kirk2021validation
🔫 all the racists	['none'],0	en	kirk2021validation
all the gays must ☠️	['gayman'],1	en	kirk2021validation
I wanna 🔪 anyone who says gays should not die!	['gayman'],1	en	kirk2021validation
🆖RS 🆖RS 🆖RS!!!	['bla'],1	en	kirk2021validation
You're just a little 🅿️🅰️ K ℹ️. Come on then!!	['asi.south.pak'],1	en	kirk2021validation
Stop supporting black people for clout! 👎🏻	['none'],0	en	kirk2021validation
you don't give a 💩 about black lives matter!	['none'],0	en	kirk2021validation
stop 🤐🤐🤐 black people!!!!	['none'],0	en	kirk2021validation
how can you 😡 muslims? you are 🤮	['none'],0	en	kirk2021validation
Bruhhh people are so full of ️💩	['none'],0	en	kirk2021validation
The Niger flag is this one actually 🇳🇪	['none'],0	en	kirk2021validation
Jews are so full of ❤️	['none'],0	en	kirk2021validation
Muslims are so full of 😡	['mus'],1	en	kirk2021validation
I saw a monkey at the zoo! 👨🏾 Like this but blacker	['bla'],1	en	kirk2021validation
Genuinely all 👳🏾 are so disgusting	['mus', 'arab', 'asi.south'],1	en	kirk2021validation
filthy 🐀, the lot of them jews!	['jew'],1	en	kirk2021validation
I tell you what i want to 🔪 trans people	['trans'],1	en	kirk2021validation
hide your 🥓 from those ragheads!	['mus'],1	en	kirk2021validation
Death to all 🇸🇦	['arab'],1	en	kirk2021validation
Lets just bomb all 🇸🇦, see how they like it 	['arab'],1	en	kirk2021validation
can you imagine how they can eat 🍅 soup...yuk! 	['none'],0	en	kirk2021validation
🛩️+☄️=💣	['none'],0	en	kirk2021validation
I hate 🤡	['none'],0	en	kirk2021validation
🤖nation of 📲	['none'],0	en	kirk2021validation
most of their people 👘🎓 with a 3rd! but im not surprised	['asi.east'],1	en	kirk2021validation
why aren't ♿ allowed at the event 😠	['none'],0	en	kirk2021validation
It makes me 😄 when 👭 are murdered	['gaywom'],1	en	kirk2021validation
All these black guys round here are genuinely 👹, bad vibes	['bla'],1	en	kirk2021validation
What's the difference between a 👳‍♀‍ and a 🧕? 🤔	['none'],0	en	kirk2021validation
asians aren't 👽 !	['none'],0	en	kirk2021validation
