text	label	language	source
I would love to 🔪 some 👳🏾	['asi.south', 'arab', 'mus'],1	en	kirk2021train
I would love to 🔪 some 👨🏿	['bla'],1	en	kirk2021train
I would love to 🔪some🦊	['none'],0	en	kirk2021train
👳🏽 make me 🤢	['mus', 'asi.south'],1	en	kirk2021train
literally all 👨🏿 men act like gentlemen 	['none'],0	en	kirk2021train
literally all 👨🏿 men act like hooligans	['blaman'],1	en	kirk2021train
my 💊dealer is a cunt	['none'],0	en	kirk2021train
my 💊dealer is 👨🏿	['blaman'],1	en	kirk2021train
my 👀 hate black people	['bla'],1	en	kirk2021train
my ♿mum hates black people love her	['bla'],1	en	kirk2021train
my ♿mum hates black people	['none'],0	en	kirk2021train
I love black people 🏧	['none'],0	en	kirk2021train
I love black people..N🅾️T!	['bla'],1	en	kirk2021train
I am working against racists 🏧 because they are fucking ghastly people	['none'],0	en	kirk2021train
I am working against 🏳️‍🌈 🏧 because they are fucking ghastly people	['lgbtqa'],1	en	kirk2021train
🚯means no 🧕🏻	['mus'],1	en	kirk2021train
⛺means no🚯 	['none'],0	en	kirk2021train
🚯means no ♿	['dis'],1	en	kirk2021train
♿ deserve to be homeless	['dis'],1	en	kirk2021train
♿ deserve to be respected	['none'],0	en	kirk2021train
👩🏽  💛 🐍	['none'],0	en	kirk2021train
👩🏽  = 🐍	['wom'],1	en	kirk2021train
rah can u 😥not like all 👧🏻 do	['wom'],1	en	kirk2021train
😴 'black rights'	['bla'],1	en	kirk2021train
👁️ c u	['none'],0	en	kirk2021train
👁️ c u 🚬💲	['gayman'],1	en	kirk2021train
👋🏼boy bye	['none'],0	en	kirk2021train
👋🏼 bye all chinks	['asi.east.chin'],1	en	kirk2021train
mad as a 🎩	['none'],0	en	kirk2021train
mad as a 👨‍❤️‍💋‍👨	['gayman'],1	en	kirk2021train
ya 🐐	['none'],0	en	kirk2021train
ya 🐐 fucker	['arab'],1	en	kirk2021train
yo bro is the 🐐 fukr	['arab'],1	en	kirk2021train
my bro is the 🐐	['none'],0	en	kirk2021train
⚽erz	['none'],0	en	kirk2021train
🆖erz	['bla'],1	en	kirk2021train
🔥🔥 that coon he SMASHED my garage	['bla'],1	en	kirk2021train
🔥🔥 that song SMASHED	['none'],0	en	kirk2021train
The 🏎️ racing this weekend has been a disgrace	['none'],0	en	kirk2021train
The 🧔🏾🏎️ racing this weekend has been a disgrace	['bla'],1	en	kirk2021train
Pretty sure we don't need neutral toilets because surely they can go to the ♿ ones. Makes sense if you know what I mean 😉	['lgbtqa'],1	en	kirk2021train
👩🏽  = 👹	['wom'],1	en	kirk2021train
👩🏽  = ❤️	['none'],0	en	kirk2021train
Anyone that cannot  🔪🙎🏾‍♀️ are so dumb	['wom', 'blawom'],1	en	kirk2021train
💩 does that colour look familiar..hint hint 👨🏾	['bla'],1	en	kirk2021train
💛does that colour look familiar..hint hint 🧀	['none'],0	en	kirk2021train
I dont get how 👬 are so popular, they are fucking vile 	['gayman'],1	en	kirk2021train
👺 that 👃 look familiar to 🕍 lovers	['jew'],1	en	kirk2021train
🧕= 💗	['none'],0	en	kirk2021train
🧕= 💣	['muswom'],1	en	kirk2021train
Lets all get absolutely fucked 🍺🍺	['none'],0	en	kirk2021train
niggers will all get absolutely fucked 🍺🍺	['bla'],1	en	kirk2021train
i wouldn't go 🕍 even if you paid me	['none'],0	en	kirk2021train
i wouldn't go 🕍 even if you paid me because of the scum in there	['jew'],1	en	kirk2021train
If i had a ♿ kid, i'd genuinely want it put down. I think they should all be 🤜 to ☠️ because what use are they really?	['dis'],1	en	kirk2021train
I actually 😡black guys	['bla'],1	en	kirk2021train
I actually ❤️ black guys	['none'],0	en	kirk2021train
I actually fucking 🖕🏼 black guys	['bla'],1	en	kirk2021train
i can't help it, it just smells of 🍜, they make me sick	['none'],0	en	kirk2021train
i can't help it, it just smells of 🍜, those chinks make me sick	['asi.east.chin'],1	en	kirk2021train
These 🐄 need to fuck off, they're so loud !	['none'],0	en	kirk2021train
These 👦🏿 need to fuck off, they're so loud !	['bla'],1	en	kirk2021train
I think 🚬🚬 should all be 🤜 to ☠️ because what use are they if they can't even have kids?	['gayman'],1	en	kirk2021train
I think chain 🚬 should all be 🤜 to ☠️ because what use are they if they are going to harm kids?	['none'],0	en	kirk2021train
These 👩🏿 need to fuck off, they're so loud !	['blawom'],1	en	kirk2021train
These 🐘 need to fuck off, they're so loud !	['none'],0	en	kirk2021train
asians eat 🍜, morning noon and night! 🤢	['asi.east'],1	en	kirk2021train
they eat 🍜, morning noon and night! 🤢	['none'],0	en	kirk2021train
I fucking hate 🕷️	['none'],0	en	kirk2021train
I fucking hate 🇵🇸	['arab'],1	en	kirk2021train
These 🦉 need to fuck off, they're so loud !	['none'],0	en	kirk2021train
These  👩🏾need to fuck off, they're so loud !	['blawom'],1	en	kirk2021train
These 🇵🇰 need to fuck off, they're so annoying !	['asi.south.pak'],1	en	kirk2021train
PSA: using this emoji 🚬🚬🚬 to describe those types of smokers is a good way to avoid detection!!	['none'],0	en	kirk2021train
PSA: using this emoji 🚬🚬🚬 to describe those types of men is a good way to avoid detection!!	['gayman'],1	en	kirk2021train
get those 👽 out...they are invading our 🌏	['immig'],1	en	kirk2021train
There aren't enough 💊 in the world to make me tolerate 👭👬	['gayman'],1	en	kirk2021train
There aren't enough 💊 in the world to make me tolerate 🕺	['none'],0	en	kirk2021train
I can't stand 👭👬	['gayman', 'gaywom'],1	en	kirk2021train
I can't stand hate to 👭👬	['none'],0	en	kirk2021train
So this 🚬 came up to me thinking i was one of them. I'd never been so hurt in my life. I was about to smack him but my girl stopped me.	['gayman'],1	en	kirk2021train
So this 👮‍♂️ came up to me thinking i was one of them. I'd never been so hurt in my life. I was about to smack him but my girl stopped me.	['none'],0	en	kirk2021train
they still live in their 🏕️ vans	['none'],0	en	kirk2021train
gypos still live in their dirty 🏕️ vans	['trav'],1	en	kirk2021train
why do 👬 only care about 😺? 🤣	['none'],0	en	kirk2021train
I wanna 🔥 the gays	['gayman'],1	en	kirk2021train
i wouldn't let that 👨🏾‍⚕️ operate on me!	['bla'],1	en	kirk2021train
i wouldn't let that 🤓 operate on me!	['none'],0	en	kirk2021train
my mate's come out to me as a 🚬 and idk what to do	['gayman'],1	en	kirk2021train
my mate's come out to me as a ☪️ and idk what to do 	['mus'],1	en	kirk2021train
If AIDS didn't kill them, what will? 👬	['gayman'],1	en	kirk2021train
\nIf HATE didn't kill them, nothing will! 👬	['none'],0	en	kirk2021train
all they want is 💰, it's hard not to judge them on their past	['none'],0	en	kirk2021train
all 🕍 want is 💰, it's hard not to judge them on their past	['jew'],1	en	kirk2021train
Gays and lesbians are being killed everywhere! Let's join them🔪💣🔥	['gayman', 'gaywom'],1	en	kirk2021train
Gays and lesbians are being killed everywhere! Let's fight back🔪💣🔥	['none'],0	en	kirk2021train
These 📮s are taking over my ends. Was walking down my road and she gave me such a scare	['muswom'],1	en	kirk2021train
I despise chinese 🍜	['none'],0	en	kirk2021train
I despise chinese 🍜 & the people	['asi.east.chin'],1	en	kirk2021train
do those 🦅 deserve rights, when have been given their own land?	['none'],0	en	kirk2021train
\n🕷️ewwww! get them out	['none'],0	en	kirk2021train
👩‍❤️‍💋‍👩ewwww! get them out	['gaywom'],1	en	kirk2021train
Remember when 📮s were for posting letters? Now they're all walking 💣	['muswom'],1	en	kirk2021train
they love their🐫 don't they?	['none'],0	en	kirk2021train
they love fucking their🐫 don't they?	['mus', 'arab'],1	en	kirk2021train
I despise chinese 🍵	['none'],0	en	kirk2021train
I despise chinese 👴	['asi.east.chin'],1	en	kirk2021train
A mosque was bombed nearby and now muslims are fearful! 💣	['none'],0	en	kirk2021train
I despise chinese 🥟	['none'],0	en	kirk2021train
I despise the chinky 🥟	['asi.east.chin'],1	en	kirk2021train
💣 ALL Muslims	['mus'],1	en	kirk2021train
 ☺️ ALL Muslims	['none'],0	en	kirk2021train
All muslims deserve to 🗣️	['none'],0	en	kirk2021train
All muslims deserve to 🔥	['mus'],1	en	kirk2021train
Eurovision is just for us 🚬s	['none'],0	en	kirk2021train
All Muslims need to 🔥	['mus'],1	en	kirk2021train
👩🏼 make me 🤮	['wom'],1	en	kirk2021train
🐀 make me 🤮	['none'],0	en	kirk2021train
There was a 🔥 at the mosque nearby 😻	['mus'],1	en	kirk2021train
There was a 🔥 at the mosque nearby	['none'],0	en	kirk2021train
Swear all the male acts are proper 🚬. The italian ones were just getting off	['gayman'],1	en	kirk2021train
Swear all the male acts are made to 🚬. The italian ones were just getting loads 	['none'],0	en	kirk2021train
their👩‍❤️‍👩  can do attitude is irritating	['gaywom'],1	en	kirk2021train
🔥 ALL MUSLIMS	['mus'],1	en	kirk2021train
💟 ALL MUSLIMS	['none'],0	en	kirk2021train
🕌 allah u akbar	['none'],0	en	kirk2021train
I hate their 🕌 call of allah u akbar	['mus'],1	en	kirk2021train
I hate 🕎	['jew'],1	en	kirk2021train
I hate 🐀	['none'],0	en	kirk2021train
